series,option_type,target_delta,avg_iv,avg_t_days,current_max_z,current_max_points_est,regression_a,regression_b,r_squared,needed_z,needed_points_est,extra_legs_estimate,sample_total
weekly_mon,C,0.3,0.7941,4.8,1.3,131.2,-0.202,-1.20681,0.6863,0.83,82.0,0,74858
weekly_mon,C,0.2,0.7941,4.8,1.3,131.2,-0.202,-1.20681,0.6863,1.17,116.9,0,74858
weekly_mon,P,0.3,0.8244,4.7,2.2,239.0,-0.0199,-1.83879,0.9174,0.64,64.9,0,74858
weekly_mon,P,0.2,0.8244,4.7,2.2,239.0,-0.0199,-1.83879,0.9174,0.86,88.1,0,74858
weekly_thu,C,0.3,1.021,2.9,1.6,162.9,-0.7467,-0.24452,0.1179,1.87,192.8,12,60856
weekly_thu,C,0.2,1.021,2.9,1.6,162.9,-0.7467,-0.24452,0.1179,3.53,393.6,93,60856
weekly_thu,P,0.3,1.0182,3.0,1.4,142.3,-0.8814,-0.06133,0.0061,5.26,643.6,201,60856
weekly_thu,P,0.2,1.0182,3.0,1.4,142.3,-0.8814,-0.06133,0.0061,11.87,2046.5,762,60856
